#HGNC ID	HGNC symbol
48360	CSPG4P9
39027	ALOX15P2
27304	LINC00656
43378	RNA5SP478
37101	DDX11L8
620	APP
37669	UBE2Q2P3
47916	RNU6-953P
15919	ACOT8
37486	RBPJP6
26956	INO80
43379	RNA5SP479
33655	MIR147B
31920	CST12P
34101	RNU7-5P
37664	ATP5A1P6
44335	CST13P
39552	CST9LP1
26817	HMGN2P46
8271	OR2N1P
45042	CST2P1
10996	SLC27A2
8262	OR2J4P
44415	FAM27E4
8255	OR2H4P
2486	CSTP1
47792	RNU6-829P
8251	OR2G1P
16440	POM121L3P
8278	OR2U1P
43754	DPPA5P2
12408	TUBA3C
41964	RNU1-23P
8279	OR2U2P
8239	OR2B4P
38559	GAPDHP53
38492	CDK2AP2P1
13948	DDX6P1
38495	MYO5BP1
8177	OR12D1
48220	RNU6-1257P
18796	UBDP1
47977	RNU6-1014P
33448	MAS1LP1
45825	RN7SKP101
38267	MIR4291
13982	RPS17P1
46581	RN7SL565P
45863	RN7SKP139
24398	CYCSP24
16542	PPIAP2
46916	RNU6ATAC17P
40759	ZNF337-AS1
37157	MTRNR2L3
46738	RN7SL722P
46610	RN7SL594P
45084	MED28P7
37432	VN1R108P
31476	MIRLET7A1
31483	MIRLET7F1
16182	CFTRP1
37186	MIRLET7DHG
45131	WDR7-OT1
43773	LINC-ROR
15818	RBM38
19191	DOCK8
29324	DENND1A
47700	RNU6-737P
31481	MIRLET7D
16222	FAM182A
46560	RN7SL544P
47640	RNU6-677P
16724	NCOR1P1
37480	VDAC1P11
31042	GREB1L
32919	MIR663A
16274	CYYR1
11490	SYCP2
47632	RNU6-669P
48824	PCAT7
4855	HDC
37315	MIR2278
37487	RBPJP7
37665	ATP5A1P7
17299	TPTE2
33212	VN2R6P
12626	USP3
32032	FAM74A4
31700	ZBTB7C
31606	MIR23B
17222	RPS5P2
15794	MLLT10P1
31614	MIR27B
217	ADAMTS1
16593	DKKL1P1
38268	MIR3074
47705	RNU6-742P
16549	RPL31P3
16414	LINC00310
37881	RSL24D1P11
43765	HAUS6P2
43380	RNA5SP480
18098	DEFB117
18102	DEFB122
6594	LHX2
39374	HMGN1P30
16224	LINC00028
43188	RNA5SP288
41424	HM13-IT1
41940	HM13-AS1
47347	RNU6-384P
5726	RBPJP2
38204	MIR3193
23681	MT1P1
31501	MIR122
48436	RNU1-94P
37668	ATP5A1P10
43381	RNA5SP481
43382	RNA5SP482
37876	RSL24D1P6
